SOURCE STRATA DEP10 N.BREAK TOTN DISTFRAC
2 508 360 1 2680 .00037313432835820896
2 508 370 2 2680 .0007462686567164179
2 508 450 1 2680 .00037313432835820896
2 508 470 2 2680 .0007462686567164179
2 508 510 1 2680 .00037313432835820896
2 508 520 2 2680 .0007462686567164179
1 501 90 24 188 .1276595744680851
1 501 100 65 188 .34574468085106386
1 501 110 25 188 .13297872340425532
1 501 120 15 188 .0797872340425532
1 501 130 11 188 .05851063829787234
1 501 140 21 188 .11170212765957446
1 501 150 12 188 .06382978723404255
1 501 160 7 188 .03723404255319149
1 501 170 5 188 .026595744680851064
1 501 180 2 188 .010638297872340425
1 501 450 1 188 .005319148936170213
1 502 60 52 432 .12037037037037036
1 502 70 77 432 .17824074074074073
1 502 80 159 432 .3680555555555556
1 502 90 137 432 .31712962962962965
1 502 100 4 432 .009259259259259259
1 502 130 1 432 .0023148148148148147
1 502 140 1 432 .0023148148148148147
1 502 160 1 432 .0023148148148148147
1 503 30 13 179 .07262569832402235
1 503 40 28 179 .1564245810055866
1 503 50 41 179 .22905027932960895
1 503 60 52 179 .2905027932960894
1 503 70 21 179 .11731843575418995
1 503 80 3 179 .01675977653631285
1 503 90 4 179 .0223463687150838
1 503 100 1 179 .00558659217877095
1 503 110 4 179 .0223463687150838
1 503 140 1 179 .00558659217877095
1 503 150 2 179 .0111731843575419
1 503 160 1 179 .00558659217877095
1 503 170 3 179 .01675977653631285
1 503 180 5 179 .027932960893854747
1 504 30 1 197 .005076142131979695
1 504 40 18 197 .09137055837563451
1 504 50 36 197 .18274111675126903
1 504 60 31 197 .15736040609137056
1 504 70 36 197 .18274111675126903
1 504 80 39 197 .19796954314720813
1 504 90 35 197 .17766497461928935
1 504 100 1 197 .005076142131979695
1 505 100 3 92 .03260869565217391
1 505 110 2 92 .021739130434782608
1 505 120 3 92 .03260869565217391
1 505 130 10 92 .10869565217391304
1 505 140 13 92 .14130434782608695
1 505 150 6 92 .06521739130434782
1 505 160 23 92 .25
1 505 170 14 92 .15217391304347827
1 505 180 16 92 .17391304347826086
1 505 190 2 92 .021739130434782608
1 506 30 4 119 .03361344537815126
1 506 40 12 119 .10084033613445378
1 506 50 25 119 .21008403361344538
1 506 60 36 119 .3025210084033613
1 506 70 23 119 .19327731092436976
1 506 80 12 119 .10084033613445378
1 506 90 7 119 .058823529411764705
1 507 30 2 110 .01818181818181818
1 507 40 11 110 .1
1 507 50 18 110 .16363636363636364
1 507 60 30 110 .2727272727272727
1 507 70 21 110 .19090909090909092
1 507 80 13 110 .11818181818181818
1 507 90 15 110 .13636363636363635
1 508 90 1 70 .014285714285714285
1 508 100 20 70 .2857142857142857
1 508 110 14 70 .2
1 508 120 10 70 .14285714285714285
1 508 130 6 70 .08571428571428572
1 508 140 8 70 .11428571428571428
1 508 150 4 70 .05714285714285714
1 508 160 6 70 .08571428571428572
1 508 210 1 70 .014285714285714285
