SOURCE	STRATA	DEP10	N_BREAK	TOTN	DISTFRAC
2	449	140	12	216	.0555555555555556
2	449	150	14	216	.0648148148148148
2	449	160	6	216	.0277777777777778
2	449	170	7	216	.0324074074074074
2	449	180	2	216	.00925925925925926
2	449	190	2	216	.00925925925925926
2	449	200	1	216	.00462962962962963
2	449	210	1	216	.00462962962962963
2	449	220	2	216	.00925925925925926
2	449	240	1	216	.00462962962962963
2	450	50	1	528	.00189393939393939
2	450	60	4	528	.00757575757575758
2	450	70	13	528	.0246212121212121
2	450	80	26	528	.0492424242424242
2	450	90	51	528	.0965909090909091
2	450	100	91	528	.172348484848485
2	450	110	56	528	.106060606060606
2	450	120	60	528	.113636363636364
2	450	130	43	528	.0814393939393939
2	450	140	40	528	.0757575757575758
2	450	150	33	528	.0625
2	450	160	32	528	.0606060606060606
2	450	170	24	528	.0454545454545455
2	450	180	23	528	.0435606060606061
2	450	190	14	528	.0265151515151515
2	450	200	9	528	.0170454545454545
2	450	210	2	528	.00378787878787879
2	450	220	2	528	.00378787878787879
2	450	230	1	528	.00189393939393939
2	450	240	1	528	.00189393939393939
2	450	250	1	528	.00189393939393939
2	450	270	1	528	.00189393939393939
2	451	90	1	209	.00478468899521531
2	451	100	2	209	.00956937799043062
2	451	110	5	209	.0239234449760766
2	451	120	4	209	.0191387559808612
2	451	130	9	209	.0430622009569378
2	451	140	10	209	.0478468899521531
2	451	150	8	209	.0382775119617225
2	451	160	12	209	.0574162679425837
2	451	170	16	209	.076555023923445
2	451	180	20	209	.0956937799043062
2	451	190	18	209	.0861244019138756
2	451	200	12	209	.0574162679425837
2	451	210	18	209	.0861244019138756
2	451	220	8	209	.0382775119617225
2	451	230	12	209	.0574162679425837
2	451	240	12	209	.0574162679425837
2	451	250	8	209	.0382775119617225
2	451	260	5	209	.0239234449760766
2	451	270	4	209	.0191387559808612
2	451	280	3	209	.0143540669856459
2	451	290	4	209	.0191387559808612
2	451	300	3	209	.0143540669856459
2	451	310	5	209	.0239234449760766
2	451	330	2	209	.00956937799043062
2	451	360	1	209	.00478468899521531
2	451	370	1	209	.00478468899521531
2	451	390	2	209	.00956937799043062
2	451	400	2	209	.00956937799043062
2	451	420	1	209	.00478468899521531
2	451	510	1	209	.00478468899521531
2	452	130	1	451	.00221729490022173
2	452	140	7	451	.0155210643015521
2	452	150	16	451	.0354767184035477
2	452	160	18	451	.0399113082039911
2	452	170	24	451	.0532150776053215
2	452	180	43	451	.0953436807095344
2	452	190	47	451	.104212860310421
2	452	200	48	451	.106430155210643
2	452	210	51	451	.113082039911308
2	452	220	35	451	.0776053215077605
2	452	230	25	451	.0554323725055432
2	452	240	25	451	.0554323725055432
2	452	250	21	451	.0465631929046563
2	452	260	24	451	.0532150776053215
2	452	270	12	451	.0266075388026608
2	452	280	15	451	.0332594235033259
2	452	290	10	451	.0221729490022173
2	452	300	13	451	.0288248337028825
2	452	310	7	451	.0155210643015521
2	452	320	6	451	.0133037694013304
2	452	330	3	451	.00665188470066519
2	453	110	1	307	.00325732899022801
2	453	120	2	307	.00651465798045603
2	453	130	6	307	.0195439739413681
2	453	140	6	307	.0195439739413681
2	453	150	8	307	.0260586319218241
2	453	160	17	307	.0553745928338762
2	453	170	17	307	.0553745928338762
2	453	180	17	307	.0553745928338762
2	453	190	27	307	.0879478827361564
2	453	200	39	307	.127035830618893
2	453	210	22	307	.0716612377850163
2	453	220	20	307	.0651465798045603
2	453	230	22	307	.0716612377850163
2	453	240	27	307	.0879478827361564
2	453	250	12	307	.0390879478827362
2	453	260	9	307	.0293159609120521
2	453	270	11	307	.0358306188925081
2	453	280	7	307	.0228013029315961
2	453	290	4	307	.0130293159609121
2	453	300	8	307	.0260586319218241
2	453	310	3	307	.00977198697068404
2	453	320	4	307	.0130293159609121
2	453	340	7	307	.0228013029315961
2	453	350	1	307	.00325732899022801
2	453	360	1	307	.00325732899022801
2	453	390	1	307	.00325732899022801
2	453	400	2	307	.00651465798045603
2	453	420	1	307	.00325732899022801
2	453	440	1	307	.00325732899022801
2	453	510	1	307	.00325732899022801
2	453	540	1	307	.00325732899022801
2	453	560	1	307	.00325732899022801
2	453	570	1	307	.00325732899022801
2	454	30	2	702	.00284900284900285
2	454	40	1	702	.00142450142450142
2	454	50	2	702	.00284900284900285
2	454	60	1	702	.00142450142450142
2	454	70	8	702	.0113960113960114
2	454	80	48	702	.0683760683760684
2	454	90	119	702	.16951566951567
2	454	100	141	702	.200854700854701
2	454	110	99	702	.141025641025641
2	454	120	79	702	.112535612535613
2	454	130	52	702	.0740740740740741
2	454	140	55	702	.0783475783475783
2	454	150	36	702	.0512820512820513
2	454	160	17	702	.0242165242165242
2	454	170	15	702	.0213675213675214
2	454	180	7	702	.00997150997150997
2	454	190	7	702	.00997150997150997
2	454	200	7	702	.00997150997150997
2	454	210	2	702	.00284900284900285
2	454	220	3	702	.00427350427350427
2	454	260	1	702	.00142450142450142
2	455	20	9	2970	.00303030303030303
2	455	30	175	2970	.0589225589225589
2	455	40	519	2970	.174747474747475
2	455	50	815	2970	.274410774410774
2	455	60	771	2970	.25959595959596
2	455	70	391	2970	.131649831649832
2	455	80	229	2970	.0771043771043771
2	455	90	54	2970	.0181818181818182
2	455	100	6	2970	.00202020202020202
2	455	110	1	2970	.000336700336700337
2	456	20	8	1235	.00647773279352227
2	456	30	96	1235	.0777327935222672
2	456	40	141	1235	.11417004048583
2	456	50	189	1235	.153036437246964
2	456	60	225	1235	.182186234817814
2	456	70	161	1235	.130364372469636
2	456	80	134	1235	.108502024291498
2	456	90	106	1235	.08582995951417
2	456	100	74	1235	.059919028340081
2	456	110	37	1235	.0299595141700405
2	456	120	21	1235	.017004048582996
2	456	130	14	1235	.011336032388664
2	456	140	10	1235	.00809716599190283
2	456	150	3	1235	.00242914979757085
2	456	160	2	1235	.00161943319838057
2	456	170	3	1235	.00242914979757085
2	456	180	3	1235	.00242914979757085
2	456	190	2	1235	.00161943319838057
2	456	200	1	1235	.000809716599190283
2	456	210	2	1235	.00161943319838057
2	456	220	1	1235	.000809716599190283
2	456	240	1	1235	.000809716599190283
2	456	270	1	1235	.000809716599190283
2	457	50	1	1168	.000856164383561644
2	457	60	4	1168	.00342465753424658
2	457	70	10	1168	.00856164383561644
2	457	80	20	1168	.0171232876712329
2	457	90	39	1168	.0333904109589041
2	457	100	58	1168	.0496575342465753
2	457	110	105	1168	.0898972602739726
2	457	120	136	1168	.116438356164384
2	457	130	154	1168	.131849315068493
2	457	140	231	1168	.19777397260274
2	457	150	107	1168	.0916095890410959
2	457	160	113	1168	.0967465753424658
2	457	170	75	1168	.0642123287671233
2	457	180	65	1168	.0556506849315069
2	457	190	17	1168	.0145547945205479
2	457	200	13	1168	.0111301369863014
2	457	210	8	1168	.00684931506849315
2	457	220	6	1168	.00513698630136986
2	457	250	3	1168	.00256849315068493
2	457	260	2	1168	.00171232876712329
2	457	280	1	1168	.000856164383561644
2	458	10	1	911	.00109769484083425
2	458	30	97	911	.106476399560922
2	458	40	180	911	.197585071350165
2	458	50	200	911	.21953896816685
2	458	60	128	911	.140504939626784
2	458	70	92	911	.100987925356751
2	458	80	83	911	.0911086717892426
2	458	90	46	911	.0504939626783754
2	458	100	36	911	.0395170142700329
2	458	110	21	911	.0230515916575192
2	458	120	8	911	.00878155872667399
2	458	130	9	911	.00987925356750823
2	458	140	3	911	.00329308452250274
2	458	150	7	911	.00768386388583974
2	459	50	4	4301	.000930016275284818
2	459	60	47	4301	.0109276912345966
2	459	70	147	4301	.034178098116717
2	459	80	136	4301	.0316205533596838
2	459	90	189	4301	.0439432690072076
2	459	100	332	4301	.0771913508486399
2	459	110	363	4301	.0843989769820972
2	459	120	363	4301	.0843989769820972
2	459	130	335	4301	.0778888630551035
2	459	140	394	4301	.0916066031155545
2	459	150	433	4301	.100674261799582
2	459	160	445	4301	.103464310625436
2	459	170	284	4301	.066031155545222
2	459	180	270	4301	.0627760985817252
2	459	190	188	4301	.0437107649383864
2	459	200	135	4301	.0313880492908626
2	459	210	75	4301	.0174378051615903
2	459	220	51	4301	.0118577075098814
2	459	230	43	4301	.00999767495931179
2	459	240	29	4301	.00674261799581493
2	459	250	13	4301	.00302255289467566
2	459	260	8	4301	.00186003255056964
2	459	270	5	4301	.00116252034410602
2	459	280	3	4301	.000697512206463613
2	459	290	5	4301	.00116252034410602
2	459	300	4	4301	.000930016275284818
2	460	80	3	1777	.00168823860438942
2	460	90	9	1777	.00506471581316826
2	460	100	39	1777	.0219471018570625
2	460	110	68	1777	.0382667416994935
2	460	120	103	1777	.0579628587507034
2	460	130	196	1777	.110298255486775
2	460	140	281	1777	.158131682611142
2	460	150	290	1777	.163196398424311
2	460	160	306	1777	.172200337647721
2	460	170	204	1777	.114800225098481
2	460	180	170	1777	.0956668542487338
2	460	190	84	1777	.0472706809229038
2	460	200	18	1777	.0101294316263365
2	460	210	4	1777	.00225098480585256
2	460	220	1	1777	.00056274620146314
2	460	230	1	1777	.00056274620146314
2	461	150	5	1603	.00311915159076731
2	461	160	5	1603	.00311915159076731
2	461	170	14	1603	.00873362445414847
2	461	180	73	1603	.0455396132252027
2	461	190	140	1603	.0873362445414847
2	461	200	215	1603	.134123518402994
2	461	210	224	1603	.139737991266376
2	461	220	247	1603	.154086088583905
2	461	230	199	1603	.124142233312539
2	461	240	187	1603	.116656269494697
2	461	250	156	1603	.0973175296319401
2	461	260	101	1603	.0630068621334997
2	461	270	36	1603	.0224578914535246
2	461	280	1	1603	.000623830318153462
2	462	80	6	2964	.00202429149797571
2	462	90	60	2964	.0202429149797571
2	462	100	205	2964	.0691632928475034
2	462	110	191	2964	.0644399460188934
2	462	120	411	2964	.138663967611336
2	462	130	479	2964	.161605937921727
2	462	140	379	2964	.127867746288799
2	462	150	298	2964	.100539811066127
2	462	160	437	2964	.147435897435897
2	462	170	269	2964	.0907557354925776
2	462	180	149	2964	.0502699055330634
2	462	190	54	2964	.0182186234817814
2	462	200	23	2964	.00775978407557355
2	462	210	3	2964	.00101214574898785
2	463	70	62	433	.143187066974596
2	463	80	144	433	.33256351039261
2	463	90	194	433	.448036951501155
2	463	100	33	433	.0762124711316397
2	464	40	14	1762	.00794551645856981
2	464	50	173	1762	.0981838819523269
2	464	60	275	1762	.156072644721907
2	464	70	471	1762	.267309875141884
2	464	80	488	1762	.276958002270148
2	464	90	305	1762	.173098751418842
2	464	100	34	1762	.0192962542565267
2	464	110	2	1762	.00113507377979569
2	465	70	2	3203	.000624414611301905
2	465	80	8	3203	.00249765844520762
2	465	90	305	3203	.0952232282235404
2	465	100	1173	3203	.366219169528567
2	465	110	532	3203	.166094286606307
2	465	120	251	3203	.078364033718389
2	465	130	212	3203	.0661879487980019
2	465	140	201	3203	.0627536684358414
2	465	150	209	3203	.065251326881049
2	465	160	112	3203	.0349672182329066
2	465	170	57	3203	.0177958164221043
2	465	180	34	3203	.0106150483921324
2	465	190	16	3203	.00499531689041524
2	465	200	14	3203	.00437090227911333
2	465	210	9	3203	.00280986575085857
2	465	220	7	3203	.00218545113955667
2	465	230	6	3203	.00187324383390571
2	465	240	6	3203	.00187324383390571
2	465	250	6	3203	.00187324383390571
2	465	260	4	3203	.00124882922260381
2	465	270	4	3203	.00124882922260381
2	465	280	8	3203	.00249765844520762
2	465	290	8	3203	.00249765844520762
2	465	300	4	3203	.00124882922260381
2	465	310	2	3203	.000624414611301905
2	465	320	3	3203	.000936621916952857
2	465	340	2	3203	.000624414611301905
2	465	350	2	3203	.000624414611301905
2	465	360	2	3203	.000624414611301905
2	465	390	2	3203	.000624414611301905
2	465	400	2	3203	.000624414611301905
2	466	120	1	233	.00429184549356223
2	466	130	2	233	.00858369098712446
2	466	140	3	233	.0128755364806867
2	466	150	5	233	.0214592274678112
2	466	160	8	233	.0343347639484979
2	466	170	8	233	.0343347639484979
2	466	180	11	233	.0472103004291846
2	466	190	8	233	.0343347639484979
2	466	200	19	233	.0815450643776824
2	466	210	20	233	.0858369098712446
2	466	220	15	233	.0643776824034335
2	466	230	17	233	.0729613733905579
2	466	240	17	233	.0729613733905579
2	466	250	16	233	.0686695278969957
2	466	260	14	233	.0600858369098713
2	466	270	10	233	.0429184549356223
2	466	280	14	233	.0600858369098713
2	466	290	9	233	.0386266094420601
2	466	300	11	233	.0472103004291846
2	466	310	5	233	.0214592274678112
2	466	320	2	233	.00858369098712446
2	466	330	3	233	.0128755364806867
2	466	340	3	233	.0128755364806867
2	466	350	7	233	.0300429184549356
2	466	360	3	233	.0128755364806867
2	466	380	1	233	.00429184549356223
2	466	400	1	233	.00429184549356223
2	470	80	6	1183	.00507185122569738
2	470	90	19	1183	.0160608622147084
2	470	100	50	1183	.0422654268808115
2	470	110	101	1183	.0853761622992392
2	470	120	106	1183	.0896027049873204
2	470	130	124	1183	.104818258664413
2	470	140	120	1183	.101437024513948
2	470	150	139	1183	.117497886728656
2	470	160	177	1183	.149619611158073
2	470	170	163	1183	.137785291631445
2	470	180	125	1183	.105663567202029
2	470	190	47	1183	.0397295012679628
2	470	200	4	1183	.00338123415046492
2	470	210	2	1183	.00169061707523246
2	471	150	1	1339	.000746825989544436
2	471	160	3	1339	.00224047796863331
2	471	170	16	1339	.011949215832711
2	471	180	84	1339	.0627333831217326
2	471	190	223	1339	.166542195668409
2	471	200	237	1339	.176997759522031
2	471	210	193	1339	.144137415982076
2	471	220	227	1339	.169529499626587
2	471	230	221	1339	.16504854368932
2	471	240	118	1339	.0881254667662435
2	471	250	16	1339	.011949215832711
2	472	90	90	1691	.0532229450029568
2	472	100	222	1691	.131283264340627
2	472	110	126	1691	.0745121230041396
2	472	120	93	1691	.0549970431697221
2	472	130	102	1691	.0603193376700177
2	472	140	204	1691	.120638675340035
2	472	150	241	1691	.142519219396807
2	472	160	263	1691	.155529272619752
2	472	170	208	1691	.123004139562389
2	472	180	84	1691	.0496747486694264
2	472	190	36	1691	.0212891780011827
2	472	200	9	1691	.00532229450029568
2	472	210	2	1691	.00118273211117682
2	472	220	5	1691	.00295683027794205
2	472	230	1	1691	.000591366055588409
2	472	250	2	1691	.00118273211117682
2	472	260	1	1691	.000591366055588409
2	472	280	1	1691	.000591366055588409
2	472	300	1	1691	.000591366055588409
2	473	70	7	356	.0196629213483146
2	473	80	72	356	.202247191011236
2	473	90	238	356	.668539325842697
2	473	100	33	356	.0926966292134832
2	473	110	5	356	.0140449438202247
2	473	120	1	356	.00280898876404494
2	474	40	1	226	.00442477876106195
2	474	50	2	226	.00884955752212389
2	474	60	19	226	.084070796460177
2	474	70	63	226	.278761061946903
2	474	80	85	226	.376106194690265
2	474	90	40	226	.176991150442478
2	474	100	12	226	.0530973451327434
2	474	110	4	226	.0176991150442478
2	475	70	13	213	.0610328638497653
2	475	80	78	213	.366197183098592
2	475	90	100	213	.469483568075117
2	475	100	22	213	.103286384976526
2	476	80	5	1990	.00251256281407035
2	476	90	28	1990	.014070351758794
2	476	100	110	1990	.0552763819095477
2	476	110	229	1990	.115075376884422
2	476	120	219	1990	.110050251256281
2	476	130	300	1990	.150753768844221
2	476	140	318	1990	.159798994974874
2	476	150	354	1990	.177889447236181
2	476	160	335	1990	.168341708542714
2	476	170	72	1990	.0361809045226131
2	476	180	18	1990	.00904522613065327
2	476	190	2	1990	.00100502512562814
2	477	70	2	1664	.00120192307692308
2	477	80	6	1664	.00360576923076923
2	477	90	101	1664	.0606971153846154
2	477	100	351	1664	.2109375
2	477	110	486	1664	.292067307692308
2	477	120	427	1664	.256610576923077
2	477	130	100	1664	.0600961538461539
2	477	140	44	1664	.0264423076923077
2	477	150	22	1664	.0132211538461538
2	477	160	22	1664	.0132211538461538
2	477	170	18	1664	.0108173076923077
2	477	180	12	1664	.00721153846153846
2	477	190	13	1664	.0078125
2	477	200	11	1664	.00661057692307692
2	477	210	7	1664	.00420673076923077
2	477	220	4	1664	.00240384615384615
2	477	230	14	1664	.00841346153846154
2	477	240	7	1664	.00420673076923077
2	477	250	4	1664	.00240384615384615
2	477	260	1	1664	.000600961538461539
2	477	270	2	1664	.00120192307692308
2	477	280	3	1664	.00180288461538462
2	477	290	2	1664	.00120192307692308
2	477	300	1	1664	.000600961538461539
2	477	310	1	1664	.000600961538461539
2	477	380	3	1664	.00180288461538462
2	478	140	1	274	.00364963503649635
2	478	150	1	274	.00364963503649635
2	478	160	2	274	.0072992700729927
2	478	170	5	274	.0182481751824818
2	478	180	7	274	.0255474452554745
2	478	190	8	274	.0291970802919708
2	478	200	25	274	.0912408759124088
2	478	210	14	274	.0510948905109489
2	478	220	20	274	.072992700729927
2	478	230	15	274	.0547445255474453
2	478	240	15	274	.0547445255474453
2	478	250	16	274	.0583941605839416
2	478	260	14	274	.0510948905109489
2	478	270	19	274	.0693430656934307
2	478	280	14	274	.0510948905109489
2	478	290	20	274	.072992700729927
2	478	300	22	274	.0802919708029197
2	478	310	15	274	.0547445255474453
2	478	320	4	274	.0145985401459854
2	478	330	6	274	.0218978102189781
2	478	340	9	274	.0328467153284672
2	478	350	6	274	.0218978102189781
2	478	360	3	274	.0109489051094891
2	478	370	2	274	.0072992700729927
2	478	380	4	274	.0145985401459854
2	478	390	2	274	.0072992700729927
2	478	400	1	274	.00364963503649635
2	478	420	1	274	.00364963503649635
2	478	440	2	274	.0072992700729927
2	478	450	1	274	.00364963503649635
2	480	30	1	887	.00112739571589628
2	480	40	7	887	.00789177001127396
2	480	50	35	887	.0394588500563698
2	480	60	102	887	.114994363021421
2	480	70	103	887	.116121758737317
2	480	80	181	887	.204058624577227
2	480	90	357	887	.402480270574972
2	480	100	89	887	.100338218714769
2	480	110	9	887	.0101465614430665
2	480	120	1	887	.00112739571589628
2	480	130	1	887	.00112739571589628
2	480	150	1	887	.00112739571589628
2	481	60	1	2476	.000403877221324717
2	481	70	5	2476	.00201938610662359
2	481	80	18	2476	.00726978998384491
2	481	90	135	2476	.0545234248788368
2	481	100	448	2476	.180936995153473
2	481	110	417	2476	.168416801292407
2	481	120	407	2476	.16437802907916
2	481	130	342	2476	.138126009693053
2	481	140	213	2476	.0860258481421648
2	481	150	119	2476	.0480613893376414
2	481	160	111	2476	.0448303715670436
2	481	170	119	2476	.0480613893376414
2	481	180	87	2476	.0351373182552504
2	481	190	34	2476	.0137318255250404
2	481	200	10	2476	.00403877221324717
2	481	210	4	2476	.00161550888529887
2	481	230	1	2476	.000403877221324717
2	481	240	1	2476	.000403877221324717
2	481	260	1	2476	.000403877221324717
2	481	270	1	2476	.000403877221324717
2	481	300	2	2476	.000807754442649435
2	482	110	1	1323	.000755857898715042
2	482	120	1	1323	.000755857898715042
2	482	130	1	1323	.000755857898715042
2	482	140	1	1323	.000755857898715042
2	482	150	3	1323	.00226757369614512
2	482	160	7	1323	.00529100529100529
2	482	170	17	1323	.0128495842781557
2	482	180	29	1323	.0219198790627362
2	482	190	82	1323	.0619803476946334
2	482	200	124	1323	.0937263794406652
